Id,Community,Closeness,Radius
1,9,0.00455067,0.283863
2,9,0.00484868,0.305059
3,9,0.00477519,0.284354
4,9,0.00398917,0.241183
5,9,0.00470011,0.297386
6,9,0.00437916,0.242352
7,9,0.00438434,0.343186
8,9,0.00414842,0
9,9,0.004526,0.277616
10,9,0.00448423,0.258281
11,9,0.00464165,0.327381
12,9,0.00460981,0.420861
13,9,0.00513573,0.371544
14,9,0.00456543,0.288881
15,9,0.00461288,0.193703
16,9,0.00432419,0.314839
17,9,0.00446925,0.357836
18,9,0.00483332,0.256499
19,9,0.00440455,0.374283
20,9,0.00455329,0.286968
21,9,0.00451342,0.227047
22,9,0.0041816,1
23,9,0.00479311,0.182711
24,9,0.00469308,0.408389
25,9,0.00427564,0.117297
26,9,0.00517135,0.386111
27,9,0.00438425,0.116176
28,9,0.00484647,0.330982
29,9,0.00423485,0.316008
30,9,0.00525992,0.346383
31,9,0.00445023,0.253059
32,9,0.00487684,0.337433
33,9,0.00449081,0.391477
34,9,0.00547338,0.393894
35,9,0.00441852,0.224077
36,9,0.00468386,0.252946
37,9,0.00464965,0.373935
38,9,0.00527036,0.372191
39,9,0.00433297,0.149298
40,9,0.00433599,0.240939
41,9,0.00451598,0.391377
42,9,0.00428377,0.354777
43,9,0.0048968,0.27464
44,9,0.00508937,0.35091
45,9,0.00421517,0.114485
46,9,0.00442522,0.148334
47,9,0.0046533,0.141082
48,9,0.00442567,0.125972
49,9,0.0044729,0.238267
50,9,0.00458566,0.177342
51,9,0.0045767,0.226818
52,9,0.00471976,0.373674
53,9,0.00458045,0.269144
54,9,0.0048397,0.184527
55,9,0.00450176,0.358815
56,9,0.00492459,0.271048
57,9,0.0044476,0.371394
58,9,0.00524833,0.384427
59,9,0.00435568,0.31896
60,9,0.00482246,0.34328
61,9,0.00471082,0.273576
62,9,0.00446886,0.196729
63,9,0.00458573,0.329718
64,9,0.00419939,0.199761
65,9,0.00495911,0.331777
66,9,0.00466318,0.326209
67,9,0.00508155,0.373974
68,9,0.00457066,0.376775
69,9,0.00536335,0.404917
70,9,0.00455897,0.392679
71,9,0.00488542,0.262916
72,9,0.00452932,0.331884
73,9,0.00447847,0.273968
74,9,0.00530764,0.495246
75,9,0.00499213,0.366432
76,9,0.00510046,0.365393
77,9,0.00470976,0.294747
78,9,0.00509213,0.35394
79,9,0.00488983,0.372198
80,9,0.00527659,0.486145
81,9,0.00458311,0.296679
82,9,0.00497172,0.422908
83,9,0.00475081,0.295559
84,9,0.0048508,0.322455
85,9,0.00476275,0.29558
86,9,0.00501371,0.433274
87,9,0.00532931,0.434975
88,9,0.00498181,0.356419
89,9,0.00486743,0.294406
90,9,0.00514457,0.439657
91,9,0.00525248,0.438824
92,9,0.00518534,0.439601
93,9,0.00518661,0.439749
94,9,0.00524184,0.437145
95,9,0.00537164,0.436994
96,9,0.00539056,0.437
97,9,0.00538045,0.439841
98,9,0.00533366,0.43876
99,9,0.00533513,0.440075
100,9,0.005453,0.560495
