Source,Target,Type,Id,Weight
13,43,Undirected,113,1.04628
13,61,Undirected,114,0.68835
13,69,Undirected,115,0.41019
13,71,Undirected,116,0.49801
13,87,Undirected,117,0.212045
14,2,Undirected,118,3.09029
14,5,Undirected,119,5.14818
14,13,Undirected,120,3.19786
14,32,Undirected,121,1.60556
14,45,Undirected,122,0.856638
14,53,Undirected,123,1.0368
14,61,Undirected,124,0.745867
14,69,Undirected,125,0.409801
14,71,Undirected,126,0.511471
15,8,Undirected,127,3.09942
15,23,Undirected,128,1.71973
15,28,Undirected,129,1.50196
15,30,Undirected,130,1.18092
15,38,Undirected,131,1.06104
15,46,Undirected,132,0.943323
15,54,Undirected,133,0.563876
15,62,Undirected,134,0.523896
15,77,Undirected,135,0.39551
16,64,Undirected,136,0.188392
16,92,Undirected,137,1.37449
16,93,Undirected,138,1.36498
16,94,Undirected,139,1.54352
16,95,Undirected,140,1.55474
16,96,Undirected,141,1.06571
16,97,Undirected,142,0.949191
16,99,Undirected,143,0.94024
16,100,Undirected,144,0.797433
17,62,Undirected,145,1.03888
17,90,Undirected,146,2.31876
17,91,Undirected,147,1.53963
17,92,Undirected,148,1.03051
17,93,Undirected,149,1.02447
17,95,Undirected,150,1.14325
17,96,Undirected,151,0.829127
17,98,Undirected,152,0.779033
17,99,Undirected,153,0.743882
17,100,Undirected,154,0.644109
18,6,Undirected,155,2.58317
18,51,Undirected,156,29.5201
18,62,Undirected,157,1.03922
18,64,Undirected,158,3.81444
18,73,Undirected,159,1.06486
18,75,Undirected,160,0.910783
18,77,Undirected,161,0.727943
18,81,Undirected,162,0.582879
18,88,Undirected,163,0.367191
18,89,Undirected,164,0.420529
19,9,Undirected,165,0.999761
19,87,Undirected,166,44.0892
19,90,Undirected,167,1.94873
19,93,Undirected,168,0.91172
19,94,Undirected,169,1.0051
19,96,Undirected,170,0.746482
19,97,Undirected,171,0.678738
19,98,Undirected,172,0.70364
19,99,Undirected,173,0.673445
19,100,Undirected,174,0.58714
20,1,Undirected,175,3.97092
20,2,Undirected,176,1.95315
20,13,Undirected,177,1.9981
20,26,Undirected,178,2.08267
20,43,Undirected,179,1.01448
20,53,Undirected,180,0.886402
20,61,Undirected,181,0.683453
20,69,Undirected,182,0.416957
20,71,Undirected,183,0.502124
20,86,Undirected,184,0.558642
21,4,Undirected,185,8.87509
21,27,Undirected,186,1.00019
21,40,Undirected,187,4.91827
21,60,Undirected,188,1.44167
21,65,Undirected,189,1.14119
21,67,Undirected,190,0.985448
21,72,Undirected,191,0.717394
21,74,Undirected,192,0.546618
21,76,Undirected,193,0.474011
21,78,Undirected,194,0.474018
22,90,Undirected,195,3.02273
22,91,Undirected,196,1.86472
22,92,Undirected,197,1.17895
22,94,Undirected,198,1.31662
22,95,Undirected,199,1.32572
22,96,Undirected,200,0.924329
22,97,Undirected,201,0.827091
22,98,Undirected,202,0.862562
22,99,Undirected,203,0.819593
22,100,Undirected,204,0.699387
23,3,Undirected,205,2.42215
23,15,Undirected,206,2.06097
23,28,Undirected,207,1.31221
23,30,Undirected,208,1.06677
23,38,Undirected,209,0.971777
23,44,Undirected,210,0.923349
23,46,Undirected,211,0.876515
23,50,Undirected,212,0.788275
23,54,Undirected,213,0.553536
23,97,Undirected,214,0.453893
24,72,Undirected,215,0.984649
24,82,Undirected,216,1605.76
24,86,Undirected,217,73.559
24,90,Undirected,218,1.32924
24,95,Undirected,219,0.762094
24,96,Undirected,220,0.584285
24,97,Undirected,221,0.537016
24,98,Undirected,222,0.554481
24,99,Undirected,223,0.53329
24,100,Undirected,224,0.471839
25,39,Undirected,225,0.503626
25,73,Undirected,226,2.24668
25,75,Undirected,227,1.8058
25,79,Undirected,228,1.40203
25,80,Undirected,229,1.0272
25,81,Undirected,230,0.999431
25,83,Undirected,231,0.790246
25,84,Undirected,232,0.825346
25,85,Undirected,233,0.805377
25,89,Undirected,234,0.663874
26,5,Undirected,235,3.95336
26,13,Undirected,236,2.80617
26,20,Undirected,237,2.32673
26,45,Undirected,238,0.979142
26,53,Undirected,239,1.14989
26,56,Undirected,240,1.13258
26,61,Undirected,241,0.870095
26,69,Undirected,242,0.515469
26,71,Undirected,243,0.627086
26,98,Undirected,244,0.174463
27,10,Undirected,245,3.21806
27,21,Undirected,246,1.00007
27,30,Undirected,247,1.2304
27,34,Undirected,248,1.07978
27,38,Undirected,249,1.11053
27,39,Undirected,250,1.12825
27,46,Undirected,251,0.992015
27,50,Undirected,252,0.883791
27,54,Undirected,253,0.603639
27,62,Undirected,254,0.562076
28,3,Undirected,255,2.5359
28,15,Undirected,256,2.18158
28,23,Undirected,257,1.59039
28,30,Undirected,258,1.17183
28,34,Undirected,259,1.04627
28,44,Undirected,260,1.0211
28,46,Undirected,261,0.971546
28,50,Undirected,262,0.877697
28,54,Undirected,263,0.624706
28,62,Undirected,264,0.585757
28,91,Undirected,265,0.367048
29,40,Undirected,266,4.21087
29,49,Undirected,267,2.58709
29,58,Undirected,268,1.23286
29,59,Undirected,269,2.00465
29,60,Undirected,270,1.45753
29,67,Undirected,271,1.03256
29,72,Undirected,272,0.77106
29,74,Undirected,273,0.598784
29,76,Undirected,274,0.523964
29,78,Undirected,275,0.523978
29,90,Undirected,276,0.456866
30,8,Undirected,277,1.96342
30,10,Undirected,278,2.0333
30,15,Undirected,279,1.73638
30,23,Undirected,280,1.30883
30,27,Undirected,281,1.58844
30,28,Undirected,282,1.18625
30,34,Undirected,283,0.893946
30,39,Undirected,284,0.92587
30,54,Undirected,285,0.554043
30,62,Undirected,286,0.521612
30,99,Undirected,287,0.316304
31,6,Undirected,288,3.81387
31,34,Undirected,289,1.40033
31,36,Undirected,290,11.7177
31,75,Undirected,291,1.27667
31,77,Undirected,292,1.00152
31,79,Undirected,293,1.04245
31,80,Undirected,294,0.807132
31,83,Undirected,295,0.647151
31,84,Undirected,296,0.671491
31,88,Undirected,297,0.483032
31,89,Undirected,298,0.557441
32,9,Undirected,299,3.13057
32,14,Undirected,300,3.3223
32,43,Undirected,301,1.15276
32,45,Undirected,302,0.894694
32,53,Undirected,303,1.02269
32,56,Undirected,304,1.00995
32,61,Undirected,305,0.810085
32,69,Undirected,306,0.516041
32,71,Undirected,307,0.612116
