Id,Community,Closeness,Radius
3,7,0.00477519,0.119266
6,7,0.00437916,0.405443
8,7,0.00414842,0.0744031
10,7,0.00448423,0.0598814
15,7,0.00461288,0.283889
18,7,0.00483332,1
23,7,0.00479311,0.148041
25,7,0.00427564,0.179198
27,7,0.00438425,0.063538
28,7,0.00484647,0.174868
30,7,0.00525992,0.194427
31,7,0.00445023,0.460526
34,7,0.00547338,0.253458
36,7,0.00468386,0.418474
38,7,0.00527036,0.222919
39,7,0.00433297,0.0683459
44,7,0.00508937,0.199975
46,7,0.00442522,0.183608
47,7,0.0046533,0.468969
48,7,0.00442567,0.410332
50,7,0.00458566,0
51,7,0.0045767,0.460246
52,7,0.00471976,0.408581
54,7,0.0048397,0.262423
62,7,0.00446886,0.0232741
63,7,0.00458573,0.215351
64,7,0.00419939,0.436044
73,7,0.00447847,0.445319
75,7,0.00499213,0.443227
77,7,0.00470976,0.456827
79,7,0.00488983,0.448622
80,7,0.00527659,0.450484
81,7,0.00458311,0.45603
83,7,0.00475081,0.451551
84,7,0.0048508,0.447008
85,7,0.00476275,0.451821
88,7,0.00498181,0.625184
89,7,0.00486743,0.447702
4,2,0.00398917,0.0649518
7,2,0.00438434,0.249258
11,2,0.00464165,0.0776124
21,2,0.00451342,0.0842364
29,2,0.00423485,0.0070393
35,2,0.00441852,0.00429632
40,2,0.00433599,0.107998
49,2,0.0044729,0.155437
58,2,0.00524833,0.0901996
59,2,0.00435568,0
60,2,0.00482246,0.0856066
65,2,0.00495911,0.0545117
66,2,0.00466318,0.0287997
67,2,0.00508155,0.0381526
72,2,0.00452932,0.0475387
74,2,0.00530764,0.694975
76,2,0.00510046,1
78,2,0.00509213,0.961198
1,5,0.00455067,0.256437
2,5,0.00484868,0.266093
5,5,0.00470011,0.217679
9,5,0.004526,0.0973324
13,5,0.00513573,0.164511
14,5,0.00456543,0.165147
20,5,0.00455329,0.153493
26,5,0.00517135,0.000845575
32,5,0.00487684,0
43,5,0.0048968,0.0797429
45,5,0.00421517,0.0140341
53,5,0.00458045,0.0476046
56,5,0.00492459,0.058685
61,5,0.00471082,0.145477
69,5,0.00536335,1
71,5,0.00488542,0.541709
12,1,0.00460981,0.154741
16,1,0.00432419,0
17,1,0.00446925,0.0627543
19,1,0.00440455,0.0867593
22,1,0.0041816,1
24,1,0.00469308,0.136538
33,1,0.00449081,0.111854
37,1,0.00464965,0.0862518
41,1,0.00451598,0.111708
42,1,0.00428377,0.05829
55,1,0.00450176,0.0641831
57,1,0.0044476,0.0825426
68,1,0.00457066,0.0903962
70,1,0.00455897,0.113609
82,1,0.00497172,0.157728
86,1,0.00501371,0.172858
87,1,0.00532931,0.17534
90,1,0.00514457,0.182174
91,1,0.00525248,0.180957
92,1,0.00518534,0.182091
93,1,0.00518661,0.182308
94,1,0.00524184,0.178507
95,1,0.00537164,0.178286
96,1,0.00539056,0.178295
97,1,0.00538045,0.182442
98,1,0.00533366,0.180864
99,1,0.00533513,0.182784
100,1,0.005453,0.358538
