Source,Target,Type,Id,Weight
7,3,Undirected,73,2.06233
7,6,Undirected,74,2.00379
7,17,Undirected,75,1.72275
7,46,Undirected,76,1.04742
7,55,Undirected,77,1.1087
7,64,Undirected,78,2.63736
7,67,Undirected,79,0.772405
7,79,Undirected,80,0.589358
7,85,Undirected,81,0.499589
7,87,Undirected,82,1.81793
7,89,Undirected,83,0.517707
7,93,Undirected,84,0.518219
8,3,Undirected,85,2.13085
8,6,Undirected,86,2.07169
8,17,Undirected,87,1.78682
8,31,Undirected,88,1.65946
8,40,Undirected,89,0.410766
8,46,Undirected,90,1.0962
8,67,Undirected,91,0.812035
8,79,Undirected,92,0.621757
8,81,Undirected,93,2.13325
8,85,Undirected,94,0.528065
8,89,Undirected,95,0.546992
8,93,Undirected,96,0.547527
9,1,Undirected,97,0.694415
9,16,Undirected,98,2.01424
9,23,Undirected,99,1.33598
9,29,Undirected,100,1.27252
9,30,Undirected,101,1.30497
9,31,Undirected,102,1.49989
9,35,Undirected,103,0.916934
9,43,Undirected,104,1.22524
9,45,Undirected,105,1.24538
9,70,Undirected,106,0.854123
9,87,Undirected,107,0.476809
9,92,Undirected,108,0.612733
10,2,Undirected,109,1.57263
10,4,Undirected,110,1.6152
10,6,Undirected,111,0.694422
10,14,Undirected,112,2.09595
10,19,Undirected,113,1.29648
10,28,Undirected,114,2.22726
10,59,Undirected,115,1.3365
10,63,Undirected,116,0.883053
10,65,Undirected,117,0.79558
10,71,Undirected,118,0.798403
10,99,Undirected,119,0.511605
10,100,Undirected,120,0.503738
11,16,Undirected,121,2.76927
11,18,Undirected,122,2.05225
11,29,Undirected,123,1.62962
11,35,Undirected,124,1.12772
11,43,Undirected,125,1.56115
11,52,Undirected,126,1.40204
11,54,Undirected,127,1.36517
11,80,Undirected,128,0.701554
11,83,Undirected,129,0.782777
11,87,Undirected,130,0.551323
11,96,Undirected,131,0.522344
11,97,Undirected,132,0.52218
12,4,Undirected,133,0.694413
12,15,Undirected,134,1.93007
12,21,Undirected,135,2.31026
12,34,Undirected,136,1.26679
12,45,Undirected,137,1.38707
12,48,Undirected,138,0.99869
12,51,Undirected,139,1.44873
12,60,Undirected,140,0.831832
12,62,Undirected,141,0.759518
12,70,Undirected,142,0.933454
12,84,Undirected,143,0.561899
12,94,Undirected,144,0.65037
13,23,Undirected,145,1.97265
13,30,Undirected,146,1.91871
13,31,Undirected,147,2.2636
13,45,Undirected,148,1.81596
13,46,Undirected,149,0.300438
13,51,Undirected,150,1.90619
13,70,Undirected,151,1.17381
13,73,Undirected,152,0.965617
13,87,Undirected,153,0.61105
13,92,Undirected,154,0.806965
13,97,Undirected,155,0.578092
13,100,Undirected,156,0.59625
14,2,Undirected,157,1.66648
14,4,Undirected,158,1.7116
14,10,Undirected,159,2.22109
14,19,Undirected,160,1.37386
14,28,Undirected,161,2.36017
14,59,Undirected,162,1.41627
14,63,Undirected,163,0.935762
14,65,Undirected,164,0.843069
14,71,Undirected,165,0.84606
14,88,Undirected,166,0.288545
14,99,Undirected,167,0.542145
14,100,Undirected,168,0.533808
15,12,Undirected,169,1.99977
15,21,Undirected,170,2.30739
15,36,Undirected,171,1.35835
15,37,Undirected,172,0.388362
15,45,Undirected,173,1.39675
15,48,Undirected,174,1.00999
15,51,Undirected,175,1.45794
15,52,Undirected,176,1.24388
15,70,Undirected,177,0.944773
15,80,Undirected,178,0.651624
15,84,Undirected,179,0.571699
15,94,Undirected,180,0.660806
16,9,Undirected,181,2.31784
16,11,Undirected,182,3.20618
16,18,Undirected,183,2.31904
16,35,Undirected,184,1.28231
